NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
468.6,579.2,550.0,605.0,540.0
463.5,442.6,406.3,413.8,440.0
593.3,717.3,652.3,693.6,980.0
426.0,603.6,469.1,455.2,380.0
537.8,601.6,580.5,502.0,620.0
389.6,435.4,498.1,483.1,400.0
442.7,494.4,494.5,378.6,360.0
437.1,523.8,451.2,472.8,460.0
567.2,698.0,664.7,693.2,640.0
418.7,532.8,470.0,492.9,540.0
653.1,696.2,672.8,714.5,760.0
440.2,471.8,536.2,431.5,420.0
396.8,447.8,506.9,406.9,340.0
596.1,678.5,622.6,686.8,880.0
456.9,610.7,560.9,515.0,520.0
412.6,631.0,422.1,413.6,340.0
499.7,499.2,520.1,536.7,600.0
398.3,404.4,496.4,501.7,320.0
409.8,498.8,522.6,404.5,360.0
612.4,595.0,582.3,538.8,680.0
449.0,399.2,499.9,498.3,520.0
593.5,669.5,605.7,719.6,680.0
460.8,591.3,489.8,576.1,820.0
381.5,538.0,435.8,379.9,340.0
530.9,466.1,472.1,550.7,580.0
406.8,432.4,457.5,534.9,480.0
445.5,477.7,416.8,379.4,460.0
531.4,547.2,528.6,569.7,540.0
470.8,566.3,517.7,506.1,400.0
504.4,556.7,427.5,441.8,540.0
481.9,629.3,542.7,491.1,940.0
533.6,541.3,409.1,384.2,800.0
578.2,628.5,578.0,495.8,660.0
515.7,513.6,561.5,458.1,560.0
429.8,564.4,442.6,416.9,340.0
557.6,624.8,599.1,566.0,740.0
448.1,471.0,346.2,537.9,500.0
487.6,411.6,370.1,425.7,520.0
602.4,658.1,575.4,724.5,740.0
444.7,619.4,608.7,431.6,600.0
404.9,539.9,462.7,399.7,640.0
407.1,520.9,350.3,500.3,260.0
510.5,584.7,544.8,463.9,720.0
568.5,624.8,602.4,467.1,680.0
399.2,589.1,412.0,391.4,340.0
408.7,627.7,554.4,450.1,360.0
440.7,467.4,521.8,460.1,520.0
431.5,545.3,503.0,479.9,500.0
513.0,608.4,600.9,445.9,620.0
437.3,606.8,538.1,544.9,520.0
463.3,583.4,499.4,520.3,520.0
486.6,588.3,596.7,453.1,340.0
479.7,628.0,579.7,457.6,420.0
495.5,0.0,0.0,687.1,400.0
535.8,629.1,570.1,619.3,700.0
446.5,550.4,429.6,536.1,400.0
481.4,520.2,434.7,391.2,260.0
397.4,530.4,419.8,442.1,600.0
591.5,604.9,580.0,561.1,320.0
504.1,464.1,471.4,411.3,340.0
471.3,545.8,430.5,405.7,400.0
454.1,599.2,483.9,565.5,580.0
548.2,630.5,565.3,526.9,560.0
527.6,434.7,491.6,553.4,380.0
462.1,473.7,480.7,405.1,280.0
399.2,434.3,492.6,515.9,320.0
573.7,666.8,627.0,709.5,720.0
431.5,552.8,558.7,587.1,400.0
412.8,537.2,544.8,471.6,600.0
444.4,555.1,514.1,513.8,440.0
560.1,658.6,636.2,617.7,700.0
614.6,669.0,612.9,559.2,880.0
449.3,525.0,527.4,466.0,480.0
511.1,611.7,560.4,541.0,640.0
480.1,467.1,481.3,475.6,300.0
581.2,518.5,550.7,614.9,620.0
470.2,626.9,546.8,499.9,540.0
427.3,448.8,373.3,388.6,400.0
729.1,725.7,669.2,788.9,880.0
524.3,502.2,479.8,450.3,360.0
480.3,412.1,359.5,464.5,0.0
474.1,447.6,551.2,494.2,300.0
453.1,463.7,494.7,484.6,340.0
433.7,579.6,469.1,540.6,340.0
577.3,597.3,571.6,534.8,380.0
511.2,680.3,497.9,605.6,620.0
536.6,620.3,566.5,556.3,540.0
413.4,582.9,511.5,516.3,400.0
485.2,662.3,667.5,573.4,780.0
564.9,706.3,588.5,556.9,720.0
491.1,640.5,627.0,442.1,500.0
622.7,549.6,583.2,633.9,680.0
526.0,511.4,464.7,415.0,480.0
404.0,408.4,438.0,447.0,220.0
463.5,587.1,546.5,586.0,640.0
492.1,627.3,623.8,689.6,560.0
508.1,502.5,562.9,552.5,560.0
432.2,632.5,551.2,539.8,800.0
506.7,638.2,520.5,566.1,320.0
576.9,628.1,481.2,635.4,360.0
472.3,501.8,545.5,520.2,540.0
464.6,627.7,594.3,562.0,420.0
532.2,473.0,506.8,514.1,540.0
522.1,562.5,532.5,451.6,320.0
434.6,463.6,441.2,380.8,280.0
405.2,572.3,558.5,389.9,540.0
396.2,610.4,544.9,465.7,480.0
471.4,596.6,597.6,638.8,560.0
523.1,432.8,506.5,430.2,260.0
580.1,675.7,629.8,716.1,660.0
547.7,599.8,486.4,595.3,600.0
560.2,564.6,488.7,504.7,440.0
387.5,627.2,571.1,607.2,680.0
412.6,473.0,418.1,393.8,640.0
592.2,558.6,506.5,643.2,700.0
441.8,595.3,542.1,399.7,540.0
495.9,422.6,510.2,472.2,440.0
411.1,563.6,527.6,558.2,440.0
517.9,578.5,444.6,388.6,540.0
463.1,447.1,434.3,475.3,340.0
509.2,620.3,585.9,698.1,600.0
499.0,638.6,596.8,626.0,700.0
588.0,682.4,615.2,633.8,520.0
403.2,522.0,535.0,522.9,360.0
516.0,628.7,585.6,667.2,560.0
470.5,532.8,505.5,427.8,560.0
708.2,761.9,666.2,810.9,920.0
405.5,555.1,425.7,389.5,380.0
563.0,641.2,605.3,498.7,640.0
400.5,425.8,474.7,464.9,360.0
457.2,535.8,455.8,475.0,340.0
461.0,641.1,608.4,440.1,520.0
451.8,561.1,575.6,509.0,580.0
501.8,606.1,572.3,553.6,700.0
533.3,547.1,451.0,602.4,680.0
693.1,673.6,633.8,753.2,920.0
386.0,572.9,406.6,440.7,560.0
432.1,590.5,498.8,455.0,600.0
484.0,649.3,607.0,535.6,560.0
414.8,602.8,536.1,429.4,320.0
538.6,683.3,598.9,576.1,640.0
478.9,517.3,573.3,378.7,300.0
417.1,479.5,486.1,436.3,340.0
384.1,553.8,546.6,435.9,420.0
454.8,550.7,553.9,487.6,500.0
467.1,459.5,524.4,472.6,320.0
441.4,593.0,496.5,516.2,360.0
599.8,678.2,638.6,681.4,760.0
445.5,419.5,518.9,494.5,560.0
426.5,450.8,529.6,543.0,580.0
409.3,470.8,427.9,382.2,480.0
385.8,433.3,531.9,449.6,0.0
451.0,557.9,550.6,466.2,640.0
457.2,560.8,461.9,562.7,240.0
498.6,543.4,490.6,590.4,580.0
562.6,543.3,508.3,444.5,560.0
484.4,626.6,529.6,426.3,560.0
570.9,602.5,526.6,601.9,580.0
433.8,529.6,394.2,382.4,660.0
